FlightNumber,PayloadMass,Flights,Block,ReusedCount,Longitude,Latitude,Class,Date,BoosterVersion,Orbit,LaunchSite,Outcome,GridFins,Reused,Legs,LandingPad,Serial,Year
1.0,6104.959411764706,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2010,Falcon 9,LEO,CCAFS SLC 40,None None,False,False,False,,B0003,2010
2.0,525.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2012,Falcon 9,LEO,CCAFS SLC 40,None None,False,False,False,,B0005,2012
3.0,677.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2013,Falcon 9,ISS,CCAFS SLC 40,None None,False,False,False,,B0007,2013
4.0,500.0,1.0,1.0,0.0,-120.610829,34.632093,0.0,2013,Falcon 9,PO,VAFB SLC 4E,False Ocean,False,False,False,,B1003,2013
5.0,3170.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2013,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1004,2013
6.0,3325.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1005,2014
7.0,2296.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2014,Falcon 9,ISS,CCAFS SLC 40,True Ocean,False,False,True,,B1006,2014
8.0,1316.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2014,Falcon 9,LEO,CCAFS SLC 40,True Ocean,False,False,True,,B1007,2014
9.0,4535.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1008,2014
10.0,4428.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1011,2014
11.0,2216.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,ISS,CCAFS SLC 40,False Ocean,False,False,False,,B1010,2014
12.0,2395.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,ISS,CCAFS SLC 40,False ASDS,True,False,True,5e9e3032383ecb761634e7cb,B1012,2015
13.0,570.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2015,Falcon 9,ES-L1,CCAFS SLC 40,True Ocean,True,False,True,,B1013,2015
14.0,1898.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,ISS,CCAFS SLC 40,False ASDS,True,False,True,5e9e3032383ecb761634e7cb,B1015,2015
15.0,4707.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1016,2015
16.0,2477.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,ISS,CCAFS SLC 40,None ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1018,2015
17.0,2034.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2015,Falcon 9,LEO,CCAFS SLC 40,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1019,2015
18.0,553.0,1.0,1.0,0.0,-120.610829,34.632093,0.0,2016,Falcon 9,PO,VAFB SLC 4E,False ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1017,2016
19.0,5271.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2016,Falcon 9,GTO,CCAFS SLC 40,False ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1020,2016
20.0,3136.0,1.0,2.0,1.0,-80.577366,28.5618571,1.0,2016,Falcon 9,ISS,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1021,2016
21.0,4696.0,1.0,2.0,0.0,-80.577366,28.5618571,1.0,2016,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1022,2016
22.0,3100.0,1.0,2.0,1.0,-80.577366,28.5618571,1.0,2016,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1023,2016
23.0,2257.0,1.0,2.0,1.0,-80.577366,28.5618571,1.0,2016,Falcon 9,ISS,CCAFS SLC 40,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1025,2016
24.0,4600.0,1.0,2.0,0.0,-80.577366,28.5618571,1.0,2016,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1026,2016
25.0,5500.0,1.0,3.0,0.0,-80.577366,28.5618571,0.0,2016,Falcon 9,GTO,CCAFS SLC 40,None ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1028,2016
26.0,9600.0,1.0,3.0,1.0,-120.610829,34.632093,1.0,2017,Falcon 9,PO,VAFB SLC 4E,True ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1029,2017
27.0,2490.0,1.0,3.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,ISS,KSC LC 39A,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1031,2017
28.0,5600.0,1.0,3.0,0.0,-80.6039558,28.6080585,0.0,2017,Falcon 9,GTO,KSC LC 39A,None None,False,False,False,,B1030,2017
29.0,5300.0,2.0,2.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,GTO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1021,2017
30.0,6104.959411764706,1.0,3.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,LEO,KSC LC 39A,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1032,2017
31.0,6070.0,1.0,3.0,0.0,-80.6039558,28.6080585,0.0,2017,Falcon 9,GTO,KSC LC 39A,None None,False,False,False,,B1034,2017
32.0,2708.0,1.0,3.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,ISS,KSC LC 39A,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1035,2017
33.0,3669.0,2.0,3.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,GTO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1029,2017
34.0,9600.0,1.0,3.0,1.0,-120.610829,34.632093,1.0,2017,Falcon 9,PO,VAFB SLC 4E,True ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1036,2017
35.0,6761.0,1.0,3.0,0.0,-80.6039558,28.6080585,0.0,2017,Falcon 9,GTO,KSC LC 39A,None None,False,False,False,,B1037,2017
36.0,2910.0,1.0,4.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,ISS,KSC LC 39A,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1039,2017
37.0,475.0,1.0,3.0,1.0,-120.610829,34.632093,1.0,2017,Falcon 9,SSO,VAFB SLC 4E,True ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1038,2017
38.0,4990.0,1.0,4.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,LEO,KSC LC 39A,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1040,2017
39.0,9600.0,1.0,4.0,1.0,-120.610829,34.632093,1.0,2017,Falcon 9,PO,VAFB SLC 4E,True ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1041,2017
40.0,5200.0,2.0,3.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,GTO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1031,2017
41.0,3700.0,1.0,4.0,0.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,GTO,KSC LC 39A,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1042,2017
42.0,2205.0,2.0,3.0,1.0,-80.577366,28.5618571,1.0,2017,Falcon 9,ISS,CCAFS SLC 40,True RTLS,True,True,True,5e9e3032383ecb267a34e7c7,B1035,2017
43.0,9600.0,2.0,3.0,1.0,-120.610829,34.632093,1.0,2017,Falcon 9,PO,VAFB SLC 4E,True Ocean,True,True,False,,B1036,2017
44.0,6104.959411764706,1.0,4.0,1.0,-80.577366,28.5618571,1.0,2018,Falcon 9,LEO,CCAFS SLC 40,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1043,2018
45.0,4230.0,2.0,3.0,1.0,-80.577366,28.5618571,1.0,2018,Falcon 9,GTO,CCAFS SLC 40,True Ocean,True,True,True,,B1032,2018
46.0,6092.0,1.0,4.0,0.0,-80.577366,28.5618571,0.0,2018,Falcon 9,GTO,CCAFS SLC 40,None None,True,False,True,,B1044,2018
47.0,9600.0,2.0,4.0,1.0,-120.610829,34.632093,0.0,2018,Falcon 9,PO,VAFB SLC 4E,None None,True,True,True,,B1041,2018
48.0,2760.0,2.0,4.0,1.0,-80.577366,28.5618571,0.0,2018,Falcon 9,ISS,CCAFS SLC 40,None None,True,True,True,,B1039,2018
49.0,350.0,1.0,4.0,1.0,-80.577366,28.5618571,1.0,2018,Falcon 9,HEO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1045,2018
50.0,3750.0,1.0,5.0,3.0,-80.6039558,28.6080585,1.0,2018,Falcon 9,GTO,KSC LC 39A,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1046,2018
51.0,5383.85,2.0,4.0,1.0,-80.577366,28.5618571,0.0,2018,Falcon 9,GTO,CCAFS SLC 40,None None,False,True,False,,B1040,2018
52.0,2410.0,2.0,4.0,1.0,-80.577366,28.5618571,0.0,2018,Falcon 9,ISS,CCAFS SLC 40,None None,False,True,False,,B1045,2018
53.0,7076.0,1.0,5.0,2.0,-80.577366,28.5618571,1.0,2018,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1047,2018
54.0,9600.0,1.0,5.0,4.0,-120.610829,34.632093,1.0,2018,Falcon 9,PO,VAFB SLC 4E,True ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1048,2018
55.0,5800.0,2.0,5.0,3.0,-80.577366,28.5618571,1.0,2018,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1046,2018
56.0,7060.0,1.0,5.0,5.0,-80.577366,28.5618571,1.0,2018,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1049,2018
57.0,2800.0,2.0,5.0,4.0,-120.610829,34.632093,1.0,2018,Falcon 9,SSO,VAFB SLC 4E,True RTLS,True,True,True,5e9e3032383ecb554034e7c9,B1048,2018
58.0,3000.0,2.0,5.0,2.0,-80.6039558,28.6080585,1.0,2018,Falcon 9,GTO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1047,2018
59.0,4000.0,3.0,5.0,3.0,-120.610829,34.632093,1.0,2018,Falcon 9,SSO,VAFB SLC 4E,True ASDS,True,True,True,5e9e3033383ecbb9e534e7cc,B1046,2018
60.0,2573.0,1.0,5.0,0.0,-80.577366,28.5618571,0.0,2018,Falcon 9,ISS,CCAFS SLC 40,False RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1050,2018
61.0,4400.0,1.0,5.0,0.0,-80.577366,28.5618571,0.0,2018,Falcon 9,MEO,CCAFS SLC 40,None None,False,False,False,,B1054,2018
62.0,9600.0,2.0,5.0,5.0,-120.610829,34.632093,1.0,2019,Falcon 9,PO,VAFB SLC 4E,True ASDS,True,True,True,5e9e3033383ecbb9e534e7cc,B1049,2019
63.0,12259.0,1.0,5.0,5.0,-80.6039558,28.6080585,1.0,2019,Falcon 9,ISS,KSC LC 39A,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1051,2019
64.0,2482.0,1.0,5.0,3.0,-80.577366,28.5618571,1.0,2019,Falcon 9,ISS,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1056,2019
65.0,13620.0,3.0,5.0,5.0,-80.577366,28.5618571,1.0,2019,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1049,2019
66.0,1425.0,2.0,5.0,5.0,-120.610829,34.632093,1.0,2019,Falcon 9,SSO,VAFB SLC 4E,True RTLS,True,True,True,5e9e3032383ecb554034e7c9,B1051,2019
67.0,2227.7,2.0,5.0,3.0,-80.577366,28.5618571,1.0,2019,Falcon 9,ISS,CCAFS SLC 40,True RTLS,True,True,True,5e9e3032383ecb267a34e7c7,B1056,2019
68.0,6500.0,3.0,5.0,2.0,-80.577366,28.5618571,0.0,2019,Falcon 9,GTO,CCAFS SLC 40,None None,False,True,False,,B1047,2019
69.0,15600.0,4.0,5.0,4.0,-80.577366,28.5618571,1.0,2019,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1048,2019
70.0,5000.0,1.0,5.0,3.0,-80.577366,28.5618571,1.0,2019,Falcon 9,ISS,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1059,2019
71.0,6800.0,3.0,5.0,3.0,-80.577366,28.5618571,1.0,2019,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1056,2019
72.0,15400.0,4.0,5.0,5.0,-80.577366,28.5618571,1.0,2020,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1049,2020
73.0,6104.959411764706,4.0,5.0,3.0,-80.6039558,28.6080585,0.0,2020,Falcon 9,SO,KSC LC 39A,None None,False,True,False,,B1046,2020
74.0,15600.0,3.0,5.0,5.0,-80.577366,28.5618571,1.0,2020,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1051,2020
75.0,15400.0,4.0,5.0,3.0,-80.577366,28.5618571,0.0,2020,Falcon 9,VLEO,CCAFS SLC 40,False ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1056,2020
76.0,1977.0,2.0,5.0,3.0,-80.577366,28.5618571,1.0,2020,Falcon 9,ISS,CCAFS SLC 40,True RTLS,True,True,True,5e9e3032383ecb267a34e7c7,B1059,2020
77.0,15600.0,5.0,5.0,4.0,-80.6039558,28.6080585,0.0,2020,Falcon 9,VLEO,KSC LC 39A,False ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1048,2020
78.0,15400.0,4.0,5.0,5.0,-80.6039558,28.6080585,1.0,2020,Falcon 9,VLEO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1051,2020
79.0,9525.0,1.0,5.0,2.0,-80.6039558,28.6080585,1.0,2020,Falcon 9,ISS,KSC LC 39A,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1058,2020
80.0,15400.0,5.0,5.0,5.0,-80.577366,28.5618571,1.0,2020,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3033383ecbb9e534e7cc,B1049,2020
81.0,15400.0,3.0,5.0,3.0,-80.577366,28.5618571,1.0,2020,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1059,2020
82.0,3880.0,1.0,5.0,2.0,-80.577366,28.5618571,1.0,2020,Falcon 9,MEO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1060,2020
83.0,6104.959411764706,2.0,5.0,2.0,-80.577366,28.5618571,1.0,2020,Falcon 9,GEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3033383ecbb9e534e7cc,B1058,2020
84.0,15400.0,6.0,5.0,5.0,-80.577366,28.5618571,1.0,2020,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1049,2020
85.0,1600.0,4.0,5.0,3.0,-80.577366,28.5618571,1.0,2020,Falcon 9,SSO,CCAFS SLC 40,True RTLS,True,True,True,5e9e3032383ecb267a34e7c7,B1059,2020
86.0,15400.0,2.0,5.0,2.0,-80.6039558,28.6080585,1.0,2020,Falcon 9,VLEO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1060,2020
87.0,15400.0,3.0,5.0,2.0,-80.6039558,28.6080585,1.0,2020,Falcon 9,VLEO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1058,2020
88.0,15400.0,6.0,5.0,5.0,-80.6039558,28.6080585,1.0,2020,Falcon 9,VLEO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1051,2020
89.0,15400.0,3.0,5.0,2.0,-80.577366,28.5618571,1.0,2020,Falcon 9,VLEO,CCAFS SLC 40,True ASDS,True,True,True,5e9e3033383ecbb9e534e7cc,B1060,2020
90.0,3681.0,1.0,5.0,0.0,-80.577366,28.5618571,1.0,2020,Falcon 9,MEO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1062,2020
